product_id,brand,title,category,size,price,list_price,discount_pct,rating,review_count,sentiment,positioning,top_pros,top_cons,amazon_url
SKY-07,Skybags,Skybags Orbit 75 cm Large check-in,Large check-in,75 cm,4750,8600,45,4.1,2806,72,Youthful design at accessible prices,"['lightweight body', 'smooth wheels', 'good compartments']","['lock feels basic', 'zipper snags', 'scratches quickly']",https://www.amazon.in/
SKY-08,Skybags,Skybags Neo 78 cm Soft trolley,Soft trolley,78 cm,4900,9200,47,4.2,3429,73,Youthful design at accessible prices,"['stylish colors', 'lightweight body', 'smooth wheels']","['scratches quickly', 'zipper snags', 'lock feels basic']",https://www.amazon.in/
SKY-09,Skybags,Skybags Vector 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4200,8900,53,4.1,3223,66,Youthful design at accessible prices,"['stylish colors', 'smooth wheels', 'good compartments']","['zipper snags', 'scratches quickly', 'lock feels basic']",https://www.amazon.in/
SKY-10,Skybags,Skybags Edge 65 cm Medium check-in,Medium check-in,65 cm,4850,8950,46,4.0,3723,72,Youthful design at accessible prices,"['lightweight body', 'stylish colors', 'good compartments']","['scratches quickly', 'zipper snags', 'lock feels basic']",https://www.amazon.in/
AME-01,American Tourister,American Tourister Aero 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,6400,9000,29,4.3,2556,79,Premium mass-market reliability,"['brand trust', 'balanced weight', 'durable shell']","['limited expandability', 'delivery dents', 'higher price']",https://www.amazon.in/
AME-02,American Tourister,American Tourister Nova 65 cm Medium check-in,Medium check-in,65 cm,6350,11950,47,4.1,452,91,Premium mass-market reliability,"['smooth wheels', 'brand trust', 'balanced weight']","['delivery dents', 'limited expandability', 'higher price']",https://www.amazon.in/
AME-03,American Tourister,American Tourister Cruze 75 cm Large check-in,Large check-in,75 cm,5250,8750,40,4.5,2578,87,Premium mass-market reliability,"['smooth wheels', 'durable shell', 'balanced weight']","['limited expandability', 'higher price', 'delivery dents']",https://www.amazon.in/
AME-04,American Tourister,American Tourister Flex 78 cm Soft trolley,Soft trolley,78 cm,6250,10550,41,4.3,2840,84,Premium mass-market reliability,"['balanced weight', 'durable shell', 'brand trust']","['delivery dents', 'limited expandability', 'higher price']",https://www.amazon.in/
AME-05,American Tourister,American Tourister Stellar 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,7550,12150,38,4.3,3712,84,Premium mass-market reliability,"['balanced weight', 'brand trust', 'smooth wheels']","['delivery dents', 'higher price', 'limited expandability']",https://www.amazon.in/
AME-06,American Tourister,American Tourister Prime 65 cm Medium check-in,Medium check-in,65 cm,6050,10600,43,4.3,2131,71,Premium mass-market reliability,"['brand trust', 'balanced weight', 'smooth wheels']","['higher price', 'limited expandability', 'delivery dents']",https://www.amazon.in/
AME-07,American Tourister,American Tourister Orbit 75 cm Large check-in,Large check-in,75 cm,5350,7950,33,4.2,1663,82,Premium mass-market reliability,"['durable shell', 'smooth wheels', 'balanced weight']","['higher price', 'limited expandability', 'delivery dents']",https://www.amazon.in/
AME-08,American Tourister,American Tourister Neo 78 cm Soft trolley,Soft trolley,78 cm,5300,9100,42,4.1,1582,74,Premium mass-market reliability,"['durable shell', 'smooth wheels', 'brand trust']","['higher price', 'limited expandability', 'delivery dents']",https://www.amazon.in/
AME-09,American Tourister,American Tourister Vector 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,5250,7800,33,4.3,906,83,Premium mass-market reliability,"['smooth wheels', 'balanced weight', 'brand trust']","['delivery dents', 'higher price', 'limited expandability']",https://www.amazon.in/
AME-10,American Tourister,American Tourister Edge 65 cm Medium check-in,Medium check-in,65 cm,8100,15550,48,4.1,4065,80,Premium mass-market reliability,"['smooth wheels', 'balanced weight', 'brand trust']","['delivery dents', 'higher price', 'limited expandability']",https://www.amazon.in/
VIP-01,VIP,VIP Aero 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,5200,8500,39,3.9,1245,64,Established Indian luggage brand,"['service network', 'classic design', 'sturdy handle']","['wheel noise', 'heavy for size', 'higher price']",https://www.amazon.in/
VIP-02,VIP,VIP Nova 65 cm Medium check-in,Medium check-in,65 cm,5800,8250,30,4.2,1417,75,Established Indian luggage brand,"['durable shell', 'classic design', 'sturdy handle']","['wheel noise', 'higher price', 'heavy for size']",https://www.amazon.in/
VIP-03,VIP,VIP Cruze 75 cm Large check-in,Large check-in,75 cm,4950,9700,49,4.3,3166,71,Established Indian luggage brand,"['classic design', 'service network', 'sturdy handle']","['higher price', 'wheel noise', 'heavy for size']",https://www.amazon.in/
VIP-04,VIP,VIP Flex 78 cm Soft trolley,Soft trolley,78 cm,5400,9150,41,4.3,2270,80,Established Indian luggage brand,"['sturdy handle', 'durable shell', 'service network']","['higher price', 'heavy for size', 'wheel noise']",https://www.amazon.in/
VIP-05,VIP,VIP Stellar 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4900,7000,30,4.1,2521,76,Established Indian luggage brand,"['durable shell', 'service network', 'sturdy handle']","['higher price', 'wheel noise', 'heavy for size']",https://www.amazon.in/
VIP-06,VIP,VIP Prime 65 cm Medium check-in,Medium check-in,65 cm,6050,8250,27,4.0,1009,71,Established Indian luggage brand,"['service network', 'classic design', 'durable shell']","['higher price', 'wheel noise', 'heavy for size']",https://www.amazon.in/
VIP-07,VIP,VIP Orbit 75 cm Large check-in,Large check-in,75 cm,5150,7050,27,4.4,3293,76,Established Indian luggage brand,"['durable shell', 'classic design', 'sturdy handle']","['wheel noise', 'heavy for size', 'higher price']",https://www.amazon.in/
VIP-08,VIP,VIP Neo 78 cm Soft trolley,Soft trolley,78 cm,7150,11900,40,4.3,1616,73,Established Indian luggage brand,"['durable shell', 'classic design', 'service network']","['higher price', 'heavy for size', 'wheel noise']",https://www.amazon.in/
VIP-09,VIP,VIP Vector 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,6000,8800,32,4.3,3982,83,Established Indian luggage brand,"['sturdy handle', 'classic design', 'service network']","['heavy for size', 'wheel noise', 'higher price']",https://www.amazon.in/
VIP-10,VIP,VIP Edge 65 cm Medium check-in,Medium check-in,65 cm,6250,9750,36,4.3,3988,67,Established Indian luggage brand,"['service network', 'durable shell', 'sturdy handle']","['wheel noise', 'heavy for size', 'higher price']",https://www.amazon.in/
ARI-01,Aristocrat,Aristocrat Aero 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,2700,4900,45,4.4,1129,72,Entry-value volume play,"['frequent deals', 'low price', 'lightweight body']","['wheel durability', 'thin material', 'handle wobble']",https://www.amazon.in/
ARI-02,Aristocrat,Aristocrat Nova 65 cm Medium check-in,Medium check-in,65 cm,3300,8250,60,3.9,3201,69,Entry-value volume play,"['lightweight body', 'frequent deals', 'low price']","['handle wobble', 'thin material', 'wheel durability']",https://www.amazon.in/
ARI-03,Aristocrat,Aristocrat Cruze 75 cm Large check-in,Large check-in,75 cm,3900,7950,51,4.1,3223,60,Entry-value volume play,"['lightweight body', 'adequate storage', 'low price']","['wheel durability', 'thin material', 'handle wobble']",https://www.amazon.in/
ARI-04,Aristocrat,Aristocrat Flex 78 cm Soft trolley,Soft trolley,78 cm,2800,4550,39,4.0,3534,62,Entry-value volume play,"['frequent deals', 'adequate storage', 'lightweight body']","['handle wobble', 'wheel durability', 'thin material']",https://www.amazon.in/
ARI-05,Aristocrat,Aristocrat Stellar 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,3400,7200,53,3.9,4168,55,Entry-value volume play,"['low price', 'frequent deals', 'lightweight body']","['wheel durability', 'handle wobble', 'thin material']",https://www.amazon.in/
ARI-06,Aristocrat,Aristocrat Prime 65 cm Medium check-in,Medium check-in,65 cm,3500,6600,47,3.9,3885,62,Entry-value volume play,"['frequent deals', 'lightweight body', 'adequate storage']","['wheel durability', 'thin material', 'handle wobble']",https://www.amazon.in/
ARI-07,Aristocrat,Aristocrat Orbit 75 cm Large check-in,Large check-in,75 cm,3550,7550,53,4.0,1097,53,Entry-value volume play,"['lightweight body', 'frequent deals', 'low price']","['handle wobble', 'wheel durability', 'thin material']",https://www.amazon.in/
ARI-08,Aristocrat,Aristocrat Neo 78 cm Soft trolley,Soft trolley,78 cm,4250,7700,45,4.0,336,61,Entry-value volume play,"['adequate storage', 'low price', 'frequent deals']","['wheel durability', 'thin material', 'handle wobble']",https://www.amazon.in/
ARI-09,Aristocrat,Aristocrat Vector 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4050,8250,51,4.0,2565,64,Entry-value volume play,"['frequent deals', 'low price', 'adequate storage']","['wheel durability', 'thin material', 'handle wobble']",https://www.amazon.in/
ARI-10,Aristocrat,Aristocrat Edge 65 cm Medium check-in,Medium check-in,65 cm,4000,8500,53,4.0,3096,72,Entry-value volume play,"['adequate storage', 'lightweight body', 'frequent deals']","['handle wobble', 'thin material', 'wheel durability']",https://www.amazon.in/
NAS-01,Nasher Miles,Nasher Miles Aero 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,5950,9550,38,4.4,1996,65,Design-forward value premium,"['distinctive design', 'smooth wheels', 'good finish']","['color mismatch', 'limited service', 'zipper stiffness']",https://www.amazon.in/
NAS-02,Nasher Miles,Nasher Miles Nova 65 cm Medium check-in,Medium check-in,65 cm,5850,10800,46,4.3,1413,76,Design-forward value premium,"['smooth wheels', 'good finish', 'roomy packing']","['color mismatch', 'limited service', 'zipper stiffness']",https://www.amazon.in/
NAS-03,Nasher Miles,Nasher Miles Cruze 75 cm Large check-in,Large check-in,75 cm,5800,11350,49,4.2,3938,79,Design-forward value premium,"['smooth wheels', 'roomy packing', 'good finish']","['zipper stiffness', 'limited service', 'color mismatch']",https://www.amazon.in/
NAS-04,Nasher Miles,Nasher Miles Flex 78 cm Soft trolley,Soft trolley,78 cm,6400,11850,46,4.5,1785,79,Design-forward value premium,"['distinctive design', 'smooth wheels', 'roomy packing']","['limited service', 'color mismatch', 'zipper stiffness']",https://www.amazon.in/
NAS-05,Nasher Miles,Nasher Miles Stellar 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,5850,11450,49,4.4,1010,59,Design-forward value premium,"['distinctive design', 'smooth wheels', 'good finish']","['color mismatch', 'zipper stiffness', 'limited service']",https://www.amazon.in/
NAS-06,Nasher Miles,Nasher Miles Prime 65 cm Medium check-in,Medium check-in,65 cm,5200,9250,44,4.3,1799,90,Design-forward value premium,"['good finish', 'smooth wheels', 'roomy packing']","['color mismatch', 'limited service', 'zipper stiffness']",https://www.amazon.in/
NAS-07,Nasher Miles,Nasher Miles Orbit 75 cm Large check-in,Large check-in,75 cm,5500,11200,51,4.1,1218,77,Design-forward value premium,"['good finish', 'roomy packing', 'distinctive design']","['limited service', 'color mismatch', 'zipper stiffness']",https://www.amazon.in/
NAS-08,Nasher Miles,Nasher Miles Neo 78 cm Soft trolley,Soft trolley,78 cm,5900,11800,50,4.3,2054,89,Design-forward value premium,"['roomy packing', 'good finish', 'smooth wheels']","['limited service', 'zipper stiffness', 'color mismatch']",https://www.amazon.in/
NAS-09,Nasher Miles,Nasher Miles Vector 55 cm Cabin hard luggage,Cabin hard luggage,55 cm,4600,7500,39,4.3,689,73,Design-forward value premium,"['roomy packing', 'good finish', 'smooth wheels']","['zipper stiffness', 'limited service', 'color mismatch']",https://www.amazon.in/
NAS-10,Nasher Miles,Nasher Miles Edge 65 cm Medium check-in,Medium check-in,65 cm,5550,9900,44,4.4,347,73,Design-forward value premium,"['distinctive design', 'smooth wheels', 'roomy packing']","['limited service', 'zipper stiffness', 'color mismatch']",https://www.amazon.in/
